FID,Id,soft_slope,soft_shelf,s_t_s_bott,sst,ocean_poll,dem_non_hi,dem_dest,X,Y
88,0,0,0,1,22,1.3835000,1.6985600,0.0675734,891775.778719000050000,6436416.224840000300000
89,0,0,0,1,22,1.4172100,1.6985600,0.0675734,893775.778719000050000,6436416.224840000300000
90,0,0,0,1,23,1.4134300,1.6985600,0.0675734,895775.778719000050000,6436416.224840000300000
91,0,0,0,1,27,1.4015800,1.6985600,0.0675734,897775.778719000050000,6436416.224840000300000
92,0,0,0,1,34,1.3061700,1.6985600,0.0675734,899775.778719000050000,6436416.224840000300000
93,0,0,0,1,40,1.3019400,1.6976000,0.0675349,901775.778719000050000,6436416.224840000300000
94,0,0,0,1,46,1.2819500,1.6976000,0.0675349,903775.778719000050000,6436416.224840000300000
95,0,0,0,1,46,1.2727900,1.6976000,0.0675349,905775.778719000050000,6436416.224840000300000
96,0,0,0,1,0,1.2625700,1.6976000,0.0675349,907775.778719000050000,6436416.224840000300000
97,0,0,0,1,0,0.7225370,0.7713000,0.6450980,677775.778719000050000,6438416.224840000300000
98,0,0,0,1,0,1.4536600,0.9795990,0.8193150,679775.778719000050000,6438416.224840000300000
99,0,0,0,1,0,1.4694000,0.9795990,0.8193150,681775.778719000050000,6438416.224840000300000
100,0,0,0,1,0,1.4787400,0.9795990,0.8193150,683775.778719000050000,6438416.224840000300000
101,0,0,0,1,0,1.3855100,0.9650510,0.8071470,693775.778719000050000,6438416.224840000300000
102,0,0,0,1,0,1.3643800,0.9650510,0.8071470,695775.778719000050000,6438416.224840000300000
103,0,0,0,1,0,1.3272800,0.9650510,0.8071470,697775.778719000050000,6438416.224840000300000
104,0,0,0,1,0,0.6364650,1.0701900,1.0181600,735775.778719000050000,6438416.224840000300000
105,0,0,0,1,0,0.6625480,1.0701900,1.0181600,737775.778719000050000,6438416.224840000300000
106,0,0,0,1,31,0.6743890,1.0701900,1.0181600,739775.778719000050000,6438416.224840000300000
107,0,0,0,1,20,1.0600400,1.0236700,0.8154100,753775.778719000050000,6438416.224840000300000
108,0,0,0,1,23,1.1862900,1.0236700,0.8154100,755775.778719000050000,6438416.224840000300000
109,0,0,0,1,28,1.2748400,1.0236700,0.8154100,757775.778719000050000,6438416.224840000300000
110,0,0,0,1,28,1.3054200,1.0236700,0.8154100,759775.778719000050000,6438416.224840000300000
111,0,0,0,1,27,1.3269200,1.0236700,0.8154100,761775.778719000050000,6438416.224840000300000
112,0,0,0,1,28,1.3315800,1.0236700,0.8154100,763775.778719000050000,6438416.224840000300000
113,0,0,0,1,28,1.3040000,0.9220210,0.7344420,765775.778719000050000,6438416.224840000300000
114,0,0,0,1,27,1.2585300,0.9220210,0.7344420,767775.778719000050000,6438416.224840000300000
115,0,0,0,1,26,1.2007900,0.9220210,0.7344420,769775.778719000050000,6438416.224840000300000
116,0,0,0,1,24,1.1042399,0.9220210,0.7344420,771775.778719000050000,6438416.224840000300000
117,0,0,0,1,22,1.0298500,0.9220210,0.7344420,773775.778719000050000,6438416.224840000300000
118,0,0,0,1,24,0.9800540,0.9220210,0.7344420,775775.778719000050000,6438416.224840000300000
119,0,0,0,1,27,0.9307460,0.9417150,0.8396880,777775.778719000050000,6438416.224840000300000
120,0,0,0,1,0,0.8201030,0.9417150,0.8396880,781775.778719000050000,6438416.224840000300000
121,0,0,0,1,21,1.2366199,0.5314280,0.0648889,859775.778719000050000,6438416.224840000300000
122,0,0,0,1,25,1.2330300,0.5314280,0.0648889,861775.778719000050000,6438416.224840000300000
123,0,0,0,1,27,1.2300900,0.6539930,0.0798544,863775.778719000050000,6438416.224840000300000
124,0,0,0,1,29,1.2265400,0.6539930,0.0798544,865775.778719000050000,6438416.224840000300000
125,0,0,0,1,30,1.2135000,0.6539930,0.0798544,867775.778719000050000,6438416.224840000300000
126,0,0,0,1,30,1.2090501,0.6539930,0.0798544,869775.778719000050000,6438416.224840000300000
127,0,0,0,1,30,1.2025000,0.6539930,0.0798544,871775.778719000050000,6438416.224840000300000
128,0,0,0,1,29,1.1950001,0.6539930,0.0798544,873775.778719000050000,6438416.224840000300000
129,0,0,0,1,28,1.1781300,1.6229500,0.0645655,875775.778719000050000,6438416.224840000300000
130,0,0,0,1,27,1.1725700,1.6229500,0.0645655,877775.778719000050000,6438416.224840000300000
131,0,0,0,1,26,1.1561400,1.6229500,0.0645655,879775.778719000050000,6438416.224840000300000
132,0,0,0,1,25,1.1501300,1.6229500,0.0645655,881775.778719000050000,6438416.224840000300000
133,0,0,0,1,23,1.1499200,1.6229500,0.0645655,883775.778719000050000,6438416.224840000300000
134,0,0,0,1,21,1.3110000,1.6229500,0.0645655,885775.778719000050000,6438416.224840000300000
135,0,0,0,1,21,1.3699100,1.6229500,0.0645655,887775.778719000050000,6438416.224840000300000
136,0,0,0,1,21,1.4233500,1.6985600,0.0675734,889775.778719000050000,6438416.224840000300000
137,0,0,0,1,22,1.4164100,1.6985600,0.0675734,891775.778719000050000,6438416.224840000300000
138,0,0,0,1,22,1.4453900,1.6985600,0.0675734,893775.778719000050000,6438416.224840000300000
139,0,0,0,1,22,1.4357500,1.6985600,0.0675734,895775.778719000050000,6438416.224840000300000
140,0,0,0,1,26,1.4219300,1.6985600,0.0675734,897775.778719000050000,6438416.224840000300000
141,0,0,0,1,32,1.3555200,1.6985600,0.0675734,899775.778719000050000,6438416.224840000300000
142,0,0,0,1,35,1.3496000,1.6976000,0.0675349,901775.778719000050000,6438416.224840000300000
143,0,0,0,1,38,1.3268300,1.6976000,0.0675349,903775.778719000050000,6438416.224840000300000
144,0,0,0,1,38,1.3118100,1.6976000,0.0675349,905775.778719000050000,6438416.224840000300000
145,0,0,0,1,0,0.7557210,0.9795990,0.8193150,683775.778719000050000,6440416.224840000300000
146,0,0,0,1,16,0.7289590,0.9650510,0.8071470,691775.778719000050000,6440416.224840000300000
147,0,0,0,1,0,1.4467000,0.9650510,0.8071470,693775.778719000050000,6440416.224840000300000
148,0,0,0,1,0,1.4260401,0.9650510,0.8071470,695775.778719000050000,6440416.224840000300000
149,0,0,0,1,0,1.3891500,0.9650510,0.8071470,697775.778719000050000,6440416.224840000300000
150,0,0,0,1,9,1.3196100,0.9650510,0.8071470,699775.778719000050000,6440416.224840000300000
151,0,0,0,1,40,0.6721760,1.0701900,1.0181600,739775.778719000050000,6440416.224840000300000
152,0,0,0,1,36,0.6606240,0.9993970,0.7960770,741775.778719000050000,6440416.224840000300000
153,0,0,0,1,0,0.6403320,0.9993970,0.7960770,743775.778719000050000,6440416.224840000300000
154,0,0,0,1,23,0.6403080,0.9993970,0.7960770,751775.778719000050000,6440416.224840000300000
155,0,0,0,1,21,1.0817900,1.0236700,0.8154100,753775.778719000050000,6440416.224840000300000
156,0,0,0,1,24,1.2092800,1.0236700,0.8154100,755775.778719000050000,6440416.224840000300000
157,0,0,0,1,28,1.3179600,1.0236700,0.8154100,757775.778719000050000,6440416.224840000300000
158,0,0,0,1,28,1.3445801,1.0236700,0.8154100,759775.778719000050000,6440416.224840000300000
159,0,0,0,1,29,1.3390501,1.0236700,0.8154100,761775.778719000050000,6440416.224840000300000
160,0,0,0,1,29,1.3518000,1.0236700,0.8154100,763775.778719000050000,6440416.224840000300000
161,0,0,0,1,29,1.3229700,0.9220210,0.7344420,765775.778719000050000,6440416.224840000300000
162,0,0,0,1,28,1.2769200,0.9220210,0.7344420,767775.778719000050000,6440416.224840000300000
163,0,0,0,1,26,1.2129800,0.9220210,0.7344420,769775.778719000050000,6440416.224840000300000
164,0,0,0,1,23,1.1397001,0.9220210,0.7344420,771775.778719000050000,6440416.224840000300000
165,0,0,0,1,21,1.0630800,0.9220210,0.7344420,773775.778719000050000,6440416.224840000300000
166,0,0,0,1,24,1.0124300,0.9220210,0.7344420,775775.778719000050000,6440416.224840000300000
167,0,0,0,1,28,0.9620980,0.9417150,0.8396880,777775.778719000050000,6440416.224840000300000
168,0,0,0,1,32,0.9172590,0.9417150,0.8396880,779775.778719000050000,6440416.224840000300000
169,0,0,0,1,38,0.8843330,0.9417150,0.8396880,781775.778719000050000,6440416.224840000300000
170,0,0,0,1,0,1.1939800,0.5314280,0.0648889,859775.778719000050000,6440416.224840000300000
171,0,0,0,1,31,1.1899300,0.5314280,0.0648889,861775.778719000050000,6440416.224840000300000
172,0,0,0,1,32,1.1918401,0.6539930,0.0798544,863775.778719000050000,6440416.224840000300000
173,0,0,0,1,33,1.1879801,0.6539930,0.0798544,865775.778719000050000,6440416.224840000300000
174,0,0,0,1,32,1.1792099,0.6539930,0.0798544,867775.778719000050000,6440416.224840000300000
175,0,0,0,1,30,1.1785001,0.6539930,0.0798544,869775.778719000050000,6440416.224840000300000
176,0,0,0,1,29,1.1820000,0.6539930,0.0798544,871775.778719000050000,6440416.224840000300000
177,0,0,0,1,29,1.1882401,0.6539930,0.0798544,873775.778719000050000,6440416.224840000300000
178,0,0,0,1,29,1.1687599,1.6229500,0.0645655,875775.778719000050000,6440416.224840000300000
179,0,0,0,1,28,1.1484500,1.6229500,0.0645655,877775.778719000050000,6440416.224840000300000
180,0,0,0,1,28,1.1350100,1.6229500,0.0645655,879775.778719000050000,6440416.224840000300000
181,0,0,0,1,0,1.1362900,1.6229500,0.0645655,881775.778719000050000,6440416.224840000300000
182,0,0,0,1,0,1.1458800,1.6229500,0.0645655,883775.778719000050000,6440416.224840000300000
183,0,0,0,1,21,1.3281500,1.6229500,0.0645655,885775.778719000050000,6440416.224840000300000
184,0,0,0,1,21,1.4079100,1.6985600,0.0675734,887775.778719000050000,6440416.224840000300000
185,0,0,0,1,21,1.4395601,1.6985600,0.0675734,889775.778719000050000,6440416.224840000300000
186,0,0,0,1,21,1.4522099,1.6985600,0.0675734,891775.778719000050000,6440416.224840000300000
187,0,0,0,1,21,1.4702500,1.6985600,0.0675734,893775.778719000050000,6440416.224840000300000
188,0,0,0,1,21,1.4650700,1.6985600,0.0675734,895775.778719000050000,6440416.224840000300000
189,0,0,0,1,25,1.4383301,1.6985600,0.0675734,897775.778719000050000,6440416.224840000300000
190,0,0,0,1,29,1.3885000,1.6985600,0.0675734,899775.778719000050000,6440416.224840000300000
191,0,0,0,1,28,1.3814900,1.6976000,0.0675349,901775.778719000050000,6440416.224840000300000
192,0,0,0,1,28,1.3670200,1.6976000,0.0675349,903775.778719000050000,6440416.224840000300000
193,0,0,0,1,28,1.3473800,1.6976000,0.0675349,905775.778719000050000,6440416.224840000300000
194,0,0,0,1,0,0.7590150,0.9614390,0.8035720,683775.778719000050000,6442416.224840000300000
195,0,0,0,1,0,1.5099200,0.9614390,0.8035720,685775.778719000050000,6442416.224840000300000
196,0,0,0,1,7,1.5083700,0.9614390,0.8035720,687775.778719000050000,6442416.224840000300000
197,0,0,0,1,19,1.5059201,0.9614390,0.8035720,689775.778719000050000,6442416.224840000300000
198,0,0,0,1,19,1.4911799,0.9614390,0.8035720,691775.778719000050000,6442416.224840000300000
199,0,0,0,1,9,1.4809300,0.9614390,0.8035720,693775.778719000050000,6442416.224840000300000
200,0,0,0,1,2,1.4579300,0.9614390,0.8035720,695775.778719000050000,6442416.224840000300000
201,0,0,0,1,5,1.4233700,0.9614390,0.8035720,697775.778719000050000,6442416.224840000300000
202,0,0,0,1,11,1.3684400,0.9614390,0.8035720,699775.778719000050000,6442416.224840000300000
203,0,0,0,1,19,1.3203100,0.9614390,0.8035720,701775.778719000050000,6442416.224840000300000
204,0,0,0,1,44,0.6664030,1.0485400,0.8354570,737775.778719000050000,6442416.224840000300000
205,0,0,0,1,40,0.6755480,1.0485400,0.8354570,739775.778719000050000,6442416.224840000300000
206,0,0,0,1,36,0.6652980,1.3930800,1.6985600,741775.778719000050000,6442416.224840000300000
207,0,0,0,1,0,0.6478780,1.3930800,1.6985600,743775.778719000050000,6442416.224840000300000
208,0,0,0,1,27,0.6448480,1.3930800,1.6985600,749775.778719000050000,6442416.224840000300000
209,0,0,0,1,24,1.0741200,1.3930800,1.6985600,751775.778719000050000,6442416.224840000300000
210,0,0,0,1,22,1.1193399,1.3796000,1.6821200,753775.778719000050000,6442416.224840000300000
211,0,0,0,1,24,1.2491699,1.3796000,1.6821200,755775.778719000050000,6442416.224840000300000
212,0,0,0,1,27,1.3452100,1.3796000,1.6821200,757775.778719000050000,6442416.224840000300000
213,0,0,0,1,28,1.3913701,1.3796000,1.6821200,759775.778719000050000,6442416.224840000300000
214,0,0,0,1,30,1.3739200,1.3796000,1.6821200,761775.778719000050000,6442416.224840000300000
215,0,0,0,1,29,1.3768899,1.3796000,1.6821200,763775.778719000050000,6442416.224840000300000
216,0,0,0,1,28,1.3447500,1.2430800,1.5156600,765775.778719000050000,6442416.224840000300000
217,0,0,0,1,26,1.2943701,1.2430800,1.5156600,767775.778719000050000,6442416.224840000300000
218,0,0,0,1,24,1.2159200,1.2430800,1.5156600,769775.778719000050000,6442416.224840000300000
219,0,0,0,1,22,1.1668100,1.2430800,1.5156600,771775.778719000050000,6442416.224840000300000
220,0,0,0,1,21,1.1201900,1.2430800,1.5156600,773775.778719000050000,6442416.224840000300000
221,0,0,0,1,25,1.0814500,1.2430800,1.5156600,775775.778719000050000,6442416.224840000300000
222,0,0,0,1,29,1.0393200,1.2739700,1.7372500,777775.778719000050000,6442416.224840000300000
223,0,0,0,1,33,0.9541190,1.2739700,1.7372500,779775.778719000050000,6442416.224840000300000
224,0,0,0,1,39,0.9251520,1.2739700,1.7372500,781775.778719000050000,6442416.224840000300000
225,0,0,0,1,34,0.5903380,0.5642200,0.4983560,861775.778719000050000,6442416.224840000300000
226,0,0,0,1,34,1.1447001,0.6663960,0.5886050,863775.778719000050000,6442416.224840000300000
227,0,0,0,1,35,1.1438400,0.6663960,0.5886050,865775.778719000050000,6442416.224840000300000
228,0,0,0,1,33,1.1448100,0.6663960,0.5886050,867775.778719000050000,6442416.224840000300000
229,0,0,0,1,30,1.1444900,0.6663960,0.5886050,869775.778719000050000,6442416.224840000300000
230,0,0,0,1,28,1.1621300,0.6663960,0.5886050,871775.778719000050000,6442416.224840000300000
231,0,0,0,1,29,1.1711900,0.6663960,0.5886050,873775.778719000050000,6442416.224840000300000
232,0,0,0,1,29,1.1489700,6.4273200,0.3487790,875775.778719000050000,6442416.224840000300000
233,0,0,0,1,29,1.1351500,6.4273200,0.3487790,877775.778719000050000,6442416.224840000300000
234,0,0,0,1,29,1.1179900,6.4273200,0.3487790,879775.778719000050000,6442416.224840000300000
235,0,0,0,1,0,1.1198200,6.4273200,0.3487790,881775.778719000050000,6442416.224840000300000
236,0,0,0,1,21,1.3743401,6.4273200,0.3487790,885775.778719000050000,6442416.224840000300000
237,0,0,0,1,21,1.4527600,6.9893398,0.3792770,887775.778719000050000,6442416.224840000300000
238,0,0,0,1,21,1.4820200,6.9893398,0.3792770,889775.778719000050000,6442416.224840000300000
239,0,0,0,1,21,1.4881700,6.9893398,0.3792770,891775.778719000050000,6442416.224840000300000
240,0,0,0,1,21,1.4751700,6.9893398,0.3792770,893775.778719000050000,6442416.224840000300000
241,0,0,0,1,21,1.4682200,6.9893398,0.3792770,895775.778719000050000,6442416.224840000300000
242,0,0,0,1,23,1.4520100,6.9893398,0.3792770,897775.778719000050000,6442416.224840000300000
243,0,0,0,1,26,1.4133900,7.2990699,0.3960840,899775.778719000050000,6442416.224840000300000
244,0,0,0,1,24,1.4154201,7.2990699,0.3960840,901775.778719000050000,6442416.224840000300000
245,0,0,0,1,22,1.4039900,7.2990699,0.3960840,903775.778719000050000,6442416.224840000300000
246,0,0,0,1,0,0.7529340,0.9614390,0.8035720,685775.778719000050000,6444416.224840000300000
247,0,0,0,1,0,1.5033900,0.9614390,0.8035720,687775.778719000050000,6444416.224840000300000
248,0,0,0,1,19,1.5060800,0.9614390,0.8035720,689775.778719000050000,6444416.224840000300000
249,0,0,0,1,19,1.4967800,0.9614390,0.8035720,691775.778719000050000,6444416.224840000300000
250,0,0,0,1,13,1.4919800,0.9614390,0.8035720,693775.778719000050000,6444416.224840000300000
251,0,0,0,1,9,1.4755599,0.9614390,0.8035720,695775.778719000050000,6444416.224840000300000
252,0,0,0,1,10,1.4496200,0.9614390,0.8035720,697775.778719000050000,6444416.224840000300000
253,0,0,0,1,14,1.4087700,0.9614390,0.8035720,699775.778719000050000,6444416.224840000300000
254,0,0,0,1,20,1.3696001,0.9614390,0.8035720,701775.778719000050000,6444416.224840000300000
255,0,0,0,1,25,1.3307500,1.0254600,0.8170680,703775.778719000050000,6444416.224840000300000
256,0,0,0,1,24,1.3013700,1.0254600,0.8170680,705775.778719000050000,6444416.224840000300000
257,0,0,0,1,35,0.6674940,1.0485400,0.8354570,733775.778719000050000,6444416.224840000300000
258,0,0,0,1,37,0.6898200,1.0485400,0.8354570,735775.778719000050000,6444416.224840000300000
259,0,0,0,1,37,0.6874530,1.0485400,0.8354570,737775.778719000050000,6444416.224840000300000
260,0,0,0,1,33,0.6933280,1.3930800,1.6985600,739775.778719000050000,6444416.224840000300000
261,0,0,0,1,30,0.6834620,1.3930800,1.6985600,741775.778719000050000,6444416.224840000300000
262,0,0,0,1,28,0.6673700,1.3930800,1.6985600,743775.778719000050000,6444416.224840000300000
263,0,0,0,1,27,1.0414000,1.3930800,1.6985600,749775.778719000050000,6444416.224840000300000
264,0,0,0,1,25,1.1287400,1.3930800,1.6985600,751775.778719000050000,6444416.224840000300000
265,0,0,0,1,23,1.1879600,1.3796000,1.6821200,753775.778719000050000,6444416.224840000300000
266,0,0,0,1,24,1.2863300,1.3796000,1.6821200,755775.778719000050000,6444416.224840000300000
267,0,0,0,1,27,1.3871400,1.3796000,1.6821200,757775.778719000050000,6444416.224840000300000
268,0,0,0,1,28,1.4092900,1.3796000,1.6821200,759775.778719000050000,6444416.224840000300000
269,0,0,0,1,29,1.4048800,1.3796000,1.6821200,761775.778719000050000,6444416.224840000300000
270,0,0,0,1,27,1.3911500,1.3796000,1.6821200,763775.778719000050000,6444416.224840000300000
271,0,0,0,1,25,1.3583400,1.2430800,1.5156600,765775.778719000050000,6444416.224840000300000
272,0,0,0,1,23,1.3133800,1.2430800,1.5156600,767775.778719000050000,6444416.224840000300000
273,0,0,0,1,21,1.2467000,1.2430800,1.5156600,769775.778719000050000,6444416.224840000300000
274,0,0,0,1,22,1.2071700,1.2430800,1.5156600,771775.778719000050000,6444416.224840000300000
275,0,0,0,1,23,1.1706899,1.2430800,1.5156600,773775.778719000050000,6444416.224840000300000
276,0,0,0,1,27,1.1081800,1.2430800,1.5156600,775775.778719000050000,6444416.224840000300000
277,0,0,0,1,31,1.0680300,1.2739700,1.7372500,777775.778719000050000,6444416.224840000300000
278,0,0,0,1,34,0.9903510,1.2739700,1.7372500,779775.778719000050000,6444416.224840000300000
279,0,0,0,1,0,0.9635450,1.2739700,1.7372500,781775.778719000050000,6444416.224840000300000
280,0,0,0,1,0,1.1401900,0.6663960,0.5886050,863775.778719000050000,6444416.224840000300000
281,0,0,0,1,0,1.1313000,0.6663960,0.5886050,865775.778719000050000,6444416.224840000300000
282,0,0,0,1,0,1.1240799,0.6663960,0.5886050,867775.778719000050000,6444416.224840000300000
